datetime,city,state,country,shape,duration (seconds),duration (hours/min),comments,date posted,latitude,longitude
8/27/2010 23:30,harriman state park,ny,,light,4,0:04,Lights seen over lake on 7 lakes drive in Harriman State Park.,8/30/2010,41.29232,-74.078908
8/27/2011 21:15,carmel,in,us,sphere,60,1 minute,Unidentified flying object - tracked for approximately one minute and was a spherical pulsating Orange-Red color.,10/10/2011,39.9783333,-86.1180556
8/27/2013 20:30,richmond,va,us,light,60,60 seconds,Orange ball of light flickers and disappears over Richmond&#44 VA.,8/30/2013,37.5536111,-77.4605556
8/27/2013 21:10,garfield,wa,us,oval,120,2 minutes,Bright red/yellow ralling ball.,8/30/2013,47.0080556,-117.14
8/28/1991 0:30,canandaigua,ny,us,sphere,900,15 minutes,It was a white sphere and it was keeping pace with my car,9/17/2003,42.8741667,-77.2883333
8/28/1998 22:45,alberta (canada),ab,,other,30,30 sec,UFO encounter x2,2/18/2001,53.933271,-116.576503
8/28/1999 2:00,san diego,ca,us,circle,300,5 min,Walkin out of house at early morning notice man with two small children staring into sky. I look to see what appears to be an orange ca,8/24/2010,32.7152778,-117.1563889
8/28/1999 20:20,richmond (near ottawa) (canada),on,ca,light,120,2 min.,We saw a light travelling high across the evening sky which stopped&#44 changed direction&#44 grew very bright&#44 and disppeared rapidly upward,12/2/2000,45.666667,-72.15
8/28/1999 20:40,granada hills,ca,us,flash,1,1 second,Extremely bright flash lasting about 1 second from a pin-point in space. Lit up whole backyard. At about 20 deg due West from Zenith.,8/30/1999,34.2647222,-118.5222222
8/28/1999 22:10,chicago (xxxx w 55 st.&#44 by midway airport),il,us,circle,300,5 min.,siglent circluar black craft was in front of a full moon. it flu up to the top then right then left then vanished From - Fri Sep 10 19:,9/19/2002,41.85,-87.65
8/28/2001 6:15,sunbury,oh,us,disk,1200,15 to 20 minutes,Flying disc aircraft which could move forward&#44 sideways&#44 up and down and the craft had lights.,10/12/2001,40.2425,-82.8591667
8/28/2001 21:45,greendale,wi,us,disk,240,apx. 4 minutes,Half acre sized black disc seen over Greendale&#44 Wisconsin.,10/12/2001,42.9405556,-87.9958333
8/28/2002 1:30,kelso,wa,us,unknown,12,10-12 seconds,Bright orange light.,9/6/2002,46.1469444,-122.9072222
8/28/2002 15:30,austin,tx,us,changing,300,5minutes,Daytime observation of metallic object in Austin&#44 Tx.,9/6/2002,30.2669444,-97.7427778
8/28/2002 21:30,ashland,or,us,light,45,:45,miltiple UFO sighting over Ashland Oregon 8/28/02,9/6/2002,42.1947222,-122.7083333
8/28/2002 22:00,colville,wa,us,light,45,20-45seconds,Fast moving ball of light with darker core&#44 changed direction.,9/6/2002,48.5466667,-117.9044444
8/28/2003 13:30,mcclellanville,sc,us,other,180,3 minutes,Slow moving craft,9/4/2003,33.0880556,-79.4613889
8/28/2003 21:30,maple (canada),on,ca,light,60,1 minute,star flying across the sky&#44 moving like a snake.,9/4/2003,43.8666667,-79.5
8/28/2005 9:45,riverside,ca,us,chevron,300,5 minutes,Arrowhead seen above 215 freeway near Riverside Ca.,10/11/2005,33.9533333,-117.3952778
8/28/2006 2:30,aydin (turkey),,,diamond,180,3 min,shining point moves like a crazy,10/30/2006,37.856041,27.841631
8/28/2007 1:00,neola,ut,us,circle,300,5 min,A Ufo in the sky.,10/8/2007,40.4333333,-110.0291667
8/28/2007 17:00,dinuba,ca,us,triangle,10,10 seconds,White or silver triangle observed&#44 no sound or lights&#44 moving at a very high rate of speed.,10/8/2007,36.5433333,-119.3861111
8/28/2007 20:30,claymont,de,us,sphere,1,1sec,2 spheres side by side traveling west to east over claymont de.,10/8/2007,39.8005556,-75.46
8/28/2009 1:15,memphis,tn,us,fireball,1,1 second,Bright glowing green sphere that vanishes&#44 very close and very big.  ((NUFORC Note:  Student report.  PD)),12/12/2009,35.1494444,-90.0488889
8/28/2009 19:56,westlake village,ca,us,flash,25,25 seconds,Driving on the 101 freeway north between Lindero Canyon and Westlake Boulevard exits&#44 watching a rather remarkable sunset&#44 there sudden,12/12/2009,34.1458333,-118.8047222
